,,Weekly hours teleworked or worked at home for pay,,,,,,,,,,,,,,,,,
    Construction,1256,269,277,238,134,36,301,214,87,22.2,100,21.4,22.1,19,10.6,2.9,24,17,7
    Manufacturing,2858,490,639,453,275,65,936,649,287,25.5,100,17.2,22.4,15.9,9.6,2.3,32.8,22.7,10
       Durable goods manufacturing,1954,330,435,331,147,43,668,481,186,25.6,100,16.9,22.3,17,7.5,2.2,34.2,24.6,9.5
       Nondurable goods manufacturing,903,160,204,122,128,21,269,168,101,25.4,100,17.7,22.5,13.5,14.1,2.4,29.7,18.6,11.1
    Wholesale and retail trade,2673,507,518,402,295,53,897,595,302,25.6,100,19,19.4,15.1,11,2,33.6,22.3,11.3
       Wholesale trade,809,154,146,120,88,23,279,217,62,25.3,100,19,18,14.8,10.9,2.8,34.5,26.8,7.7
       Retail trade,1864,354,372,283,207,30,618,378,240,25.8,100,19,20,15.2,11.1,1.6,33.1,20.3,12.9
    Transportation and utilities,1130,151,260,178,129,34,378,263,115,26.5,100,13.4,23,15.8,11.4,3,33.4,23.2,10.2
       Transportation and warehousing,752,107,161,86,74,26,298,201,97,27.8,100,14.2,21.4,11.4,9.9,3.5,39.7,26.8,12.9
       Utilities,378,44,99,93,55,8,80,61,18,23.9,100,11.6,26.2,24.5,14.5,2.2,21,16.2,4.8
    Information,1442,175,243,197,163,29,634,471,163,28.9,100,12.2,16.9,13.6,11.3,2,44,32.7,11.3
    Financial activities,5995,730,1137,729,664,166,2569,1971,598,28.5,100,12.2,19,12.2,11.1,2.8,42.9,32.9,10
       Finance and insurance,4625,464,831,548,481,129,2172,1686,486,29.9,100,10,18,11.8,10.4,2.8,47,36.4,10.5
       Real estate and rental and leasing,1370,265,306,181,184,36,397,285,112,23.9,100,19.4,22.3,13.2,13.4,2.7,29,20.8,8.2
    Professional and business services,10133,1119,1693,1226,1008,472,4614,3248,1367,30,100,11,16.7,12.1,9.9,4.7,45.5,32,13.5
       Professional and technical services,8483,871,1424,1071,873,378,3866,2721,1145,30.1,100,10.3,16.8,12.6,10.3,4.5,45.6,32.1,13.5
"       Management, administrative, and waste services",1651,248,269,155,135,95,748,527,221,29.3,100,15,16.3,9.4,8.2,5.7,45.3,31.9,13.4
    Education and health services,6686,1646,1320,1009,619,177,1915,1505,410,23.1,100,24.6,19.7,15.1,9.3,2.7,28.6,22.5,6.1
       Educational services,2424,829,558,407,171,43,418,311,107,18.6,100,34.2,23,16.8,7,1.8,17.2,12.8,4.4
       Health care and social assistance,4262,818,762,602,448,134,1497,1194,303,25.6,100,19.2,17.9,14.1,10.5,3.2,35.1,28,7.1
          Hospitals,1121,187,197,136,132,35,434,376,58,26.8,100,16.7,17.6,12.1,11.7,3.1,38.7,33.5,5.2
"          Health services, except hospitals",2148,461,371,278,210,74,754,607,147,25.2,100,21.4,17.3,12.9,9.8,3.4,35.1,28.3,6.9
          Social assistance,993,170,194,188,107,25,309,211,97,25.2,100,17.1,19.5,19,10.7,2.6,31.1,21.3,9.8
    Leisure and hospitality,1224,260,263,182,146,55,319,226,93,23.5,100,21.2,21.5,14.9,11.9,4.5,26,18.5,7.6
"       Arts, entertainment, and recreation",725,156,130,105,88,39,207,159,48,24.2,100,21.6,17.9,14.6,12.1,5.3,28.5,21.9,6.6
       Accommodation and food services,500,104,133,77,58,16,112,67,45,22.5,100,20.8,26.6,15.3,11.6,3.2,22.4,13.5,8.9
    Other services,1359,251,283,263,138,68,356,274,82,23.6,100,18.5,20.8,19.4,10.1,5,26.2,20.2,6
"       Other services, except private households",1288,242,269,257,130,62,328,256,72,23.2,100,18.8,20.8,19.9,10.1,4.8,25.5,19.9,5.6
       Private households,70,9,14,6,8,6,28,17,10,-,100,-,-,-,-,-,-,-,-
    Public administration,2186,432,498,319,282,108,547,426,121,24.2,100,19.7,22.8,14.6,12.9,4.9,25,19.5,5.5
"Wage and salary workers, excluding incorporated self-employed",31364,4945,5961,4261,3278,999,11921,8876,3044,27.1,100,15.8,19,13.6,10.5,3.2,38,28.3,9.7
    Private industries,27224,3984,4974,3645,2829,828,10964,8140,2824,27.7,100,14.6,18.3,13.4,10.4,3,40.3,29.9,10.4
    Government,4140,961,987,616,448,171,957,736,221,22.6,100,23.2,23.8,14.9,10.8,4.1,23.1,17.8,5.3
       Federal,1390,199,296,192,233,54,416,344,72,26.3,100,14.3,21.3,13.8,16.8,3.9,29.9,24.7,5.2
       State,1717,389,449,295,123,89,372,275,97,22.1,100,22.7,26.1,17.2,7.2,5.2,21.7,16,5.7
       Local,1032,373,242,129,92,28,168,117,51,18.6,100,36.1,23.5,12.5,8.9,2.8,16.3,11.4,4.9
Self-employed workers,5960,1161,1247,960,612,285,1695,1022,672,24.6,100,19.5,20.9,16.1,10.3,4.8,28.4,17.2,11.3
"    Self-employed workers, incorporated",2839,502,585,510,298,104,840,477,364,25.3,100,17.7,20.6,18,10.5,3.7,29.6,16.8,12.8
"    Self-employed workers, unincorporated",3121,660,662,450,314,181,854,546,309,24,100,21.1,21.2,14.4,10.1,5.8,27.4,17.5,9.9
